0.00%, 59, 76, 192
3.13%, 68, 90, 204
6.25%, 78, 104, 215
9.38%, 88, 117, 225
12.50%, 98, 130, 234
15.63%, 108, 142, 241
18.75%, 119, 154, 247
21.88%, 130, 165, 251
25.00%, 141, 176, 254
28.13%, 152, 185, 255
31.25%, 163, 194, 255
34.38%, 174, 201, 253
37.50%, 184, 208, 249
40.63%, 194, 213, 244
43.75%, 204, 217, 238
46.88%, 213, 219, 230
50.00%, 221, 221, 221
53.13%, 229, 216, 209
56.25%, 236, 211, 198
59.38%, 241, 204, 185
62.50%, 245, 196, 173
65.63%, 247, 187, 160
68.75%, 247, 177, 148
71.88%, 247, 166, 135
75.00%, 244, 154, 123
78.13%, 241, 141, 111
81.25%, 236, 127, 99
84.38%, 229, 112, 87
87.50%, 222, 97, 76
90.63%, 213, 80, 66
93.75%, 203, 62, 56
96.88%, 192, 40, 47
100.00%, 180, 4, 38
